experiment_id,cycle,hypothesis_id,stage,status,method,config_sha256,proxy_mean_rank,proxy_worst_delta,macro_AUROC,macro_FPR95,macro_AUPR_OUT,imagenet_o_AUROC,delta_AUROC_vs_RC_MSPS,delta_FPR95_vs_RC_MSPS,notes
H75,10,H75,id_only_proxy,rejected,RestrictedNeighborAgreement,,,,,,,,,,Classifier/neighbor agreement failed proxy gate
H77,10,H77,id_only_proxy,rejected,RestrictedKNNDeepGeometric,,,,,,,,,,Best proxy mean rank remained worse than deep prototype
H78,11,H78,legacy_gate,failed,RankFeat,,,,,,,0.743203,,,ImageNet-O gate only; remaining legacy sets skipped
H79,11,H79,legacy_gate,failed,SpatialSingularDominance-L3,,,,,,,0.763850,,,Best singular-dominance atom; failed gate
H80,11,H80,legacy_gate,failed,RankOneEnergyDrop,,,,,,,0.485849,,,Failed ImageNet-O gate
H81,11,H81,legacy_gate,failed,CAMConcentration,,,,,,,0.685882,,,Best CAM atom; failed gate
H82,11,H82,legacy_gate,failed,CrossLayerRankCollapse,,,,,,,0.551602,,,Failed ImageNet-O gate
H83,12,H83,legacy_gate,failed,Mahalanobis++,,,,,,,0.639495,,,Official ICML 2025 form; numerical rank audit passed
H84,12,H84,legacy_gate,failed,ClaFR-alpha0.9,,,,,,,0.346248,,,Paper Algorithm 1; 775-dimensional classifier subspace
H91,13,H91,legacy_gate,failed,PatchNegativeMutualInformation,,,,,,,0.525748,,,Best patch-family atom still failed ImageNet-O gate
H96,13,H96,legacy_gate,failed,SaliencyRCMean,,,,,,,0.787353,,,Protocol-invalid ID-test selection diagnostic; failed regardless
H104,14,H104,legacy_full,failed,ProxyEnvelopeMinimum,,,,0.504859,0.996918,0.125103,,-0.382778,0.562501,Proxy-passed envelope collapsed on all legacy shifts
H105,14,H105,legacy_full,failed,ProxyEnvelopeHarmonic,,,,0.476722,0.995614,0.118269,,-0.410914,0.561197,Proxy-passed envelope collapsed on all legacy shifts
H113,15,H113,legacy_full,failed,CopulaSupportQuadratic,,,,0.703655,0.848854,0.262277,,-0.183981,0.414437,Four-atom ID-proxy quadratic support
H118,16,H118,legacy_gate,failed,ODINOfficial,,,,,,,0.510093,,,Fixed published temperature and perturbation
H120,16,H120,legacy_gate,failed,NegativeInputGradientL1,,,,,,,0.633585,,,Best ODIN extraction atom; FPR95 0.9225
H121,16,H121,legacy_gate,failed,RMDS,,,,,,,0.721833,,,Exact OpenOOD empirical-covariance score; numerical audit passed
H122,16,H122,legacy_gate,failed,MultiCentroidRetry-k4,,,,,,,0.785538,,,Retry after proxy-transfer diagnosis; did not recover full KNN locality
H123,18,H123,legacy_gate,failed,RobustSpatialMoments,,,,,,,0.537141,,,Class median/MAD log diagonal-Gram moments
H124,18,H124,legacy_gate,failed,SpatialMomentEnvelope,,,,,,,0.469295,,,Best class-envelope spatial moment score
H125,19,H125,legacy_full,failed,ConditionalKNNCalibration,,,,0.833768,0.644235,0.463905,0.781986,-0.053868,0.209818,Best conditional/global calibrated KNN variant
H126,20,H126,legacy_full,failed,KNNAgreementGeometric,,,,0.870008,0.559745,0.540182,0.788418,-0.017628,0.125328,Exact top-200 support plus neighbor label agreement
H127,21,H127,legacy_full,failed,JointRCKNNMinimum,,,,0.885911,0.470224,0.597182,0.801464,-0.001725,0.035807,Best two-score ID support was the unlearned lower envelope
H128,21,H128,legacy_full,failed,ConditionalConformalRCKNN,,,,0.882905,0.464891,0.592716,0.795901,-0.004731,0.030474,Best symmetric conditional/marginal formula
H129,22,H129,legacy_full,failed,DiagonalMetricKNNWithinZ,,,,0.842876,0.630928,0.468387,0.823774,-0.044760,0.196511,ImageNet-O gate passed but broad legacy shifts failed
H129F,22,H129,legacy_full,failed,DiagonalMetricKNNFisher,,,,0.859079,0.599758,0.502719,0.821612,-0.028557,0.165341,Fisher metric variant
H130,23,H130,legacy_full,failed,MultiViewKNNMeanFeature,,,,0.842621,0.630854,0.467487,0.830220,-0.045015,0.196437,Best ImageNet-O result in cycle; broad shifts failed
H131,24,H131,legacy_gate,failed,ClassifierSpaceKNN,,,,,,,0.780819,,,Best fixed classifier-space embedding
H132,25,H132,legacy_gate,failed,ClassResidualDirectionKNN,,,,,,,0.599557,,,Residual-direction support; raw class-restricted control 0.788095
H133,26,H133,legacy_gate,failed,CorruptionResponseSupportFloor,,,,,,,0.804494,,,Blur/grayscale prototype response; below raw KNN gate
H134,27,H134,legacy_gate,failed,ValidationHubnessCorrectedKNN,,,,,,,0.768519,,,Best hub geometric score; raw k200 remained 0.821822
H135,27,H135,legacy_gate,failed,FullBankLocalDensityNormalization,,,,,,,0.592719,,,Best local-excess score; ratio variants were near chance
H136,28,H136,legacy_gate,failed,IDFailMarginLogistic,,,,,,,0.543789,,,Selected by ID-only class-held-out error AUROC 0.908687; FPR95 0.972
H137,29,H137,legacy_gate,failed,TailConsensusLowerTwoGeometric,,,,,,,0.798652,,,Selected on three locked ID-only proxies; FPR95 0.7025
H141,87,H141,id_only_image_proxy,promoted,PULSE,,,,,,,,,,Patch-shuffle and center-CutMix both ranked above MSPS; frozen-method Spearman 0.9 Kendall 0.8
H141,87,H141,legacy_full,success,PULSE,,,,0.9114263360092222,0.3999702361105249,0.626109045593972,0.8210932,0.0237900161954515,-0.0344464247527399,Four components; no learned weights; 71.7 MB fixed IVF-PQ index
H142,93,H142,legacy_full,failed,CauchyMinSUL,,,,0.864316894,0.461560,0.511158,0.769096,,,Passed obsolete feature-space proxy; failed legacy and ImageNet-O
H143,94,H143,legacy_full,failed,CauchyRawEnvelopeULK,,,,0.864921,0.454232,0.519413,0.767082,,,Passed obsolete feature-space proxy; failed legacy and ImageNet-O
H144,95,H144,legacy_full,failed,CauchyQuantileEnvelopeULK,,,,0.886053,0.447671,0.598857,0.790674,,,Passed obsolete feature-space proxy; failed legacy and ImageNet-O
H145,96,H145,proxy_infrastructure,completed,ImageSpaceProxyRepair,,,,,,,,,,Patch shuffle and center CutMix selected; phase mix rejected by negative rank fidelity
